ZipCode,County,Lat,Lng
95531,Del Norte County,41.7557501,-124.2025913
95942,Butte County,40.0694093,-121.6054893
94583,Contra Costa County,37.7624642,-121.9814354
93563,Los Angeles County,34.4053384,-117.7490656
90404,Los Angeles County,34.02875,-118.4717975
93440,Santa Barbara County,34.7445591,-120.2779508
95457,Lake County,38.858136,-122.5146439
94404,San Mateo County,33.7963296,-118.1181199
94930,Marin County,37.9873145,-122.5891656
92124,San Diego County,32.8250787,-117.091176
91105,Los Angeles County,34.1406082,-118.1678543
90260,Los Angeles County,33.8922687,-118.3520389
95493,Lake County,39.225185,-122.9944636
92584,Riverside County,33.6557387,-117.185294
90638,Los Angeles County,33.9045543,-118.0127534
94037,San Mateo County,37.5409047,-122.5118148
94704,Alameda County,37.86373760000001,-122.2682245
94555,Alameda County,37.5677679,-122.0522177
91602,Los Angeles County,34.1487141,-118.3608046
94127,San Francisco County,37.734646,-122.463708
95132,Santa Clara County,37.4010609,-121.8643855
95492,Sonoma County,35.3964972,-118.9819731
92333,San Bernardino County,34.2636333,-116.9734685
93601,Madera County,37.38881900000001,-119.7310213
93449,San Luis Obispo County,35.16628600000001,-120.6487508
93523,Kern County,34.9609579,-117.8545867
92780,Orange County,33.7372177,-117.8135579
94044,San Mateo County,37.6101767,-122.4806894
92103,San Diego County,32.749789,-117.1676501
95451,Lake County,38.9230082,-122.7858791
91316,Los Angeles County,34.1583323,-118.5155901
92662,Orange County,33.6061462,-117.8912117
93066,Ventura County,34.2989933,-119.0227159
91801,Los Angeles County,38.1256242,-122.1973081
93313,Kern County,34.10885,-118.2234229
92078,San Diego County,33.1158665,-117.185294
91601,Los Angeles County,34.1658804,-118.3637264
92106,San Diego County,34.1579788,-117.9424743
90401,Los Angeles County,34.0126379,-118.495155
95747,Placer County,38.7902545,-121.3770336
92036,San Diego County,33.0157829,-116.4901981
95503,Humboldt County,40.7306343,-124.082682
91364,Los Angeles County,34.1544724,-118.5914696
92840,Orange County,33.7876938,-117.9336874
94070,San Mateo County,37.4975165,-122.2710602
95634,El Dorado County,38.9167124,-120.6890055
95606,Yolo County,38.7684692,-122.1973081
92011,San Diego County,33.105162,-117.2970026
92227,Imperial County,33.00010779999999,-115.3311689
